1	2	1.00
2	1	0.54
2	3	0.46
3	2	0.22
3	4	0.25
3	5	0.26
3	6	0.27
4	3	0.53
4	5	0.47
5	3	0.37
5	4	0.34
5	6	0.30
6	3	0.36
6	5	0.26
6	7	0.37
7	6	0.56
7	8	0.44
8	7	0.31
8	9	0.37
8	17	0.33
9	8	0.51
9	10	0.49
10	9	0.74
10	11	0.26
11	10	0.36
11	12	0.26
11	15	0.38
12	11	0.36
12	13	0.29
12	15	0.35
13	12	0.25
13	14	0.40
13	15	0.35
14	13	1.00
15	11	0.27
15	12	0.20
15	13	0.22
15	16	0.31
16	15	0.26
16	17	0.23
16	19	0.27
16	20	0.24
17	8	0.22
17	16	0.23
17	18	0.27
17	19	0.28
18	17	0.54
18	19	0.46
19	16	0.25
19	17	0.26
19	18	0.23
19	20	0.26
20	16	0.40
20	19	0.43
20	21	0.17
21	20	1.00
22	2	0.13
22	3	0.13
22	6	0.13
22	7	0.13
22	8	0.13
22	9	0.13
22	10	0.13
22	11	0.13
