0,18,12,10,16,89,0,10,0,155
1,0,0,1,29,5,2,1,67,105
2,0,13,0,29,136,3,0,34,215
3,1,0,2,56,19,0,0,21,99
4,3,0,0,0,0,0,0,0,3
5,0,0,0,24,29,10,1,1,65
6,0,0,0,0,0,0,0,30,30
7,0,0,0,39,0,0,1,0,40
8,31,0,0,0,0,0,1,0,32
9,0,0,0,0,3,0,0,1,4
10,0,0,0,0,0,0,0,1,1
11,0,0,1,1,35,0,0,0,37
12,0,0,0,1,1,2,0,0,4
13,0,0,0,0,0,0,0,0,0
14,0,1,0,1,1,0,0,0,3
15,0,0,0,0,0,0,0,31,31
16,0,0,1,0,16,0,0,0,17
17,0,0,0,0,0,1,2,0,3
18,1,0,0,0,1,0,0,0,2
19,0,0,1,0,49,0,0,40,90
20,0,0,0,0,11,0,8,1,20
21,0,0,0,0,0,0,0,0,0
22,0,0,0,19,1,35,1,0,56
23,0,0,0,15,1,0,1,0,17
24,0,0,0,0,0,0,29,0,29
25,0,0,1,3,18,1,0,0,23
26,0,27,0,27,51,23,82,2,212
27,1,0,0,76,39,40,0,11,167
28,0,0,0,18,46,0,4,20,88
29,0,0,0,1,1,0,0,1,3
30,1,0,0,0,1,0,0,46,48
31,0,0,0,17,1,0,0,0,18
32,0,3,0,0,0,0,0,0,3
33,0,0,0,6,0,0,0,0,6
34,0,0,0,13,0,0,0,1,14
35,0,0,0,0,1,0,0,0,1
36,0,0,0,0,1,83,0,0,84
37,0,0,0,0,0,0,0,0,0
38,22,0,0,53,37,0,24,2,138
39,0,0,0,25,2,1,31,0,59
40,0,26,0,15,17,8,6,14,86
41,0,1,0,13,4,0,0,19,37
42,0,0,0,101,39,0,4,1,145
43,1,0,0,6,0,1,1,0,9
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,1,0,23,0,24
46,1,0,0,0,0,0,0,1,2
47,0,0,0,0,24,0,9,0,33
48,0,0,0,0,0,0,0,0,0
49,0,0,0,1,1,0,0,0,2
50,0,0,0,0,17,1,8,0,26
51,0,0,0,0,0,0,15,10,25
52,0,0,0,0,19,17,0,0,36
53,0,0,0,13,0,0,14,1,28
54,0,0,0,0,38,0,0,0,38
55,0,0,0,1,5,1,1,27,35
56,1,19,0,17,41,33,0,17,128
57,0,14,0,3,30,14,49,32,142
58,0,0,0,5,51,1,0,0,57
59,1,10,0,0,24,29,0,35,99
60,0,0,0,50,9,66,46,2,173
61,0,0,0,0,1,0,0,0,1
62,0,0,0,1,0,0,12,0,13
63,0,0,0,0,0,13,0,29,42
64,0,0,0,0,0,0,0,1,1
65,0,0,0,0,0,0,0,0,0
66,29,0,0,0,13,0,0,1,43
67,1,1,0,0,26,0,0,19,47
68,0,0,0,0,13,57,54,0,124
69,0,0,0,11,0,0,0,0,11
70,0,0,0,1,0,0,0,0,1
71,0,0,0,0,33,0,25,36,94
72,0,0,0,9,0,0,0,1,10
73,0,0,19,59,36,6,8,34,162
74,0,0,0,19,24,10,1,1,55
75,1,0,1,28,23,30,15,2,100
76,10,13,0,1,2,0,0,0,26
77,0,0,0,1,0,14,5,0,20
78,0,0,0,25,0,0,0,0,25
79,0,0,0,0,14,1,8,0,23
80,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,11,0,11
82,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,22,0,0,22
