0 232 447 41 88 158 3 46 390 191 270 316 323 501 556 30 173 234 565 62 192 2264 5183 
1 233 450 78 87 151 3 59 398 198 279 319 315 513 548 40 170 229 546 64 207 2267 5117 
2 233 477 81 91 158 13 61 432 206 284 324 310 529 536 39 168 222 528 77 208 2277 4996 
3 236 487 98 89 156 24 63 468 220 286 336 302 539 515 42 170 229 529 76 215 2310 4883 
4 239 482 105 88 161 27 89 499 215 311 346 302 570 490 46 169 232 524 76 239 2305 4741 
5 239 489 125 89 163 44 89 497 220 318 348 310 583 486 45 171 235 517 76 266 2299 4761 
6 238 501 129 88 166 45 91 506 225 327 348 310 590 476 47 175 244 507 79 281 2292 4860 
7 229 509 131 90 161 47 92 514 234 327 351 314 594 467 48 174 248 484 92 311 2284 4926 
8 244 484 150 92 159 41 94 517 244 322 353 322 608 450 46 176 261 462 90 299 2279 4981 
9 241 487 158 88 164 41 101 517 249 320 364 341 591 436 48 172 265 468 85 293 2297 5035 
10 231 488 159 90 165 44 99 525 257 330 363 338 603 441 48 170 276 453 85 355 2252 5107 
11 235 487 178 94 150 45 96 545 257 317 365 338 598 462 52 171 288 452 96 402 2210 5150 
12 230 487 169 92 161 53 97 542 275 320 365 333 598 468 50 160 270 444 111 413 2220 5223 
13 231 506 178 92 161 52 98 584 291 332 379 344 591 465 47 160 269 447 125 443 2208 5253 
14 231 511 167 88 176 52 103 592 283 333 373 339 593 473 46 160 266 424 146 441 2228 5298 
15 233 508 168 91 179 61 109 618 322 367 381 344 598 467 45 164 259 401 159 447 2251 5148 
16 231 509 169 88 186 62 138 662 310 388 391 348 594 472 45 159 262 405 166 455 2283 4999 
17 239 539 216 92 185 66 180 681 299 393 435 361 594 471 45 156 256 414 166 480 2269 4780 
18 245 538 218 95 183 68 181 686 298 389 442 362 605 479 44 154 257 409 173 486 2265 4823 
19 247 537 214 99 183 70 185 703 288 431 429 367 591 488 44 158 261 416 174 527 2231 4852 
20 245 547 220 100 191 72 188 724 297 472 428 370 595 492 45 156 277 420 175 545 2210 4882 
21 228 564 226 96 187 73 204 741 297 472 442 368 594 501 44 158 272 416 176 574 2196 4913 
22 245 568 236 95 192 95 207 748 304 486 453 354 592 493 56 160 266 415 182 590 2221 4967 
23 248 575 247 96 200 95 211 754 328 456 453 355 604 481 55 166 269 407 183 613 2198 5013 
24 251 580 242 96 205 98 222 778 329 470 460 355 605 474 51 166 270 412 183 618 2209 5070 
25 254 573 243 93 203 100 228 806 348 474 467 351 622 450 52 167 271 411 181 601 2245 5176 
26 263 586 243 94 199 100 229 778 372 486 463 358 623 436 55 171 271 401 199 614 2249 5267 
27 237 613 246 93 201 101 240 819 383 495 466 365 633 432 55 174 270 414 198 614 2256 5213 
28 246 610 262 92 199 102 244 813 396 509 489 374 641 423 55 175 276 421 200 616 2287 5089 
29 263 603 283 93 205 119 265 840 397 504 507 368 655 424 56 174 280 408 210 640 2289 4971 
30 260 616 301 90 202 127 312 836 435 564 487 369 679 404 56 177 283 408 211 649 2310 4846 
31 264 622 305 92 200 126 312 864 460 606 503 367 675 426 57 171 285 408 234 633 2337 4733 
32 263 618 320 94 199 132 297 898 474 612 518 363 659 427 56 176 290 412 224 649 2368 4834 
33 258 636 326 92 201 135 309 901 475 629 531 353 665 420 58 174 287 420 228 665 2373 4918 
34 266 657 332 94 204 130 310 915 481 623 539 361 682 417 60 174 287 422 242 716 2341 5025 
35 261 658 367 95 201 129 322 934 471 650 556 350 709 424 58 174 292 419 243 723 2364 5078 
36 255 651 374 95 204 134 328 950 476 671 535 348 701 430 59 173 294 425 244 715 2365 5135 
37 254 661 384 100 205 133 329 949 484 684 544 361 704 430 61 175 286 451 248 728 2396 5251 
38 256 677 387 100 207 132 351 988 494 697 607 367 708 431 62 172 299 443 251 775 2336 5105 
39 294 650 405 105 214 129 360 1077 492 706 647 361 718 442 69 167 296 431 256 801 2299 4952 
40 295 671 421 107 212 128 371 1098 501 737 652 355 721 444 85 164 300 408 263 867 2159 4924 
41 299 682 475 110 215 145 394 1139 509 740 673 351 724 460 82 177 311 404 260 872 2090 4760 
42 290 688 501 116 213 159 416 1160 517 757 689 351 739 464 83 179 308 415 254 860 2104 4659 
43 292 696 518 120 219 164 423 1189 516 785 708 356 740 466 78 185 303 420 253 860 2105 4673 
44 296 703 519 122 222 168 428 1199 526 787 754 365 750 468 76 189 306 438 254 819 2163 4719 
45 294 689 547 124 221 174 442 1214 536 787 795 370 741 460 74 195 308 443 246 813 2175 4760 
46 311 678 529 118 225 192 443 1214 567 800 821 356 744 462 73 191 303 454 246 816 2213 4773 
47 311 682 544 115 225 199 443 1283 568 823 824 357 756 454 71 201 305 457 256 789 2223 4788 
48 307 697 571 117 225 187 442 1284 584 839 826 366 769 452 70 200 303 456 254 766 2269 4866 
49 312 689 581 115 223 208 414 1304 576 820 836 366 779 449 69 199 301 446 254 793 2283 4933 
50 305 708 601 116 224 206 430 1315 587 804 838 371 788 451 69 201 316 433 263 826 2279 4964 
51 310 710 593 114 233 219 423 1320 570 816 847 376 793 454 73 198 323 424 253 840 2297 5037 
52 318 702 597 114 236 218 421 1331 584 811 854 387 856 417 74 185 318 429 250 856 2323 5134 
53 315 718 602 116 239 211 418 1319 615 777 845 388 866 422 71 185 341 407 241 862 2342 5199 
54 308 730 605 117 240 218 419 1352 589 791 863 387 878 411 77 181 340 386 247 875 2351 5298 
55 310 724 617 115 244 215 444 1407 598 800 920 395 890 410 78 167 344 387 271 833 2389 5143 
56 305 735 629 129 246 226 455 1463 607 831 952 401 855 420 78 170 342 387 282 855 2324 5069 
